run_name,mode,mode_label,backend,threshold,recall,filter_ratio,avg_survivors,bit_weights
1-bit sign,1bit_sign,1-bit sign,numpy,38,1.0,1.008659698486328,495730.01,
1-bit sign,1bit_sign,1-bit sign,numpy,39,1.0,1.0150966186523438,492619.142,
1-bit sign,1bit_sign,1-bit sign,numpy,40,1.0,1.0252891235351562,487791.318,
1-bit sign,1bit_sign,1-bit sign,numpy,41,1.0,1.0408461303710939,480637.264,
1-bit sign,1bit_sign,1-bit sign,numpy,42,1.0,1.0638212280273438,470506.926,
1-bit sign,1bit_sign,1-bit sign,numpy,43,1.0,1.0967196655273437,456816.132,
1-bit sign,1bit_sign,1-bit sign,numpy,44,1.0,1.1427619018554687,439083.746,
1-bit sign,1bit_sign,1-bit sign,numpy,45,1.0,1.2058712158203124,417108.656,
1-bit sign,1bit_sign,1-bit sign,numpy,46,1.0,1.2910288696289063,391010.438,
1-bit sign,1bit_sign,1-bit sign,numpy,47,1.0,1.4046689453125,361260.214,
1-bit sign,1bit_sign,1-bit sign,numpy,48,1.0,1.5553156127929688,328649.544,
1-bit sign,1bit_sign,1-bit sign,numpy,49,1.0,1.7543114624023437,294246.478,
1-bit sign,1bit_sign,1-bit sign,numpy,50,1.0,2.0172505493164063,259223.588,
1-bit sign,1bit_sign,1-bit sign,numpy,51,1.0,2.3649227294921875,224805.712,
1-bit sign,1bit_sign,1-bit sign,numpy,52,1.0,2.8274429931640626,191992.966,
1-bit sign,1bit_sign,1-bit sign,numpy,53,1.0,3.4451397705078124,161667.236,
1-bit sign,1bit_sign,1-bit sign,numpy,54,0.9999375,4.276548828125,134380.076,
1-bit sign,1bit_sign,1-bit sign,numpy,55,0.999875,5.405369140625,110407.894,
1-bit sign,1bit_sign,1-bit sign,numpy,56,0.999625,6.952688232421875,89783.426,
1-bit sign,1bit_sign,1-bit sign,numpy,57,0.9991875,9.0985869140625,72374.762,
1-bit sign,1bit_sign,1-bit sign,numpy,58,0.9989375,12.12376025390625,57874.264,
1-bit sign,1bit_sign,1-bit sign,numpy,59,0.9984375,16.44212158203125,45971.882,
1-bit sign,1bit_sign,1-bit sign,numpy,60,0.9955625,22.695068359375,36304.914,
1-bit sign,1bit_sign,1-bit sign,numpy,61,0.9925,32.034140625,28512.492,
1-bit sign,1bit_sign,1-bit sign,numpy,62,0.98725,46.17084765625,22279.618,
1-bit sign,1bit_sign,1-bit sign,numpy,63,0.9798125,68.1405859375,17330.996,
1-bit sign,1bit_sign,1-bit sign,numpy,64,0.9680625,103.33878515625,13408.576,
1-bit sign,1bit_sign,1-bit sign,numpy,65,0.95525,161.5548125,10324.83,
1-bit sign,1bit_sign,1-bit sign,numpy,66,0.9315,259.451484375,7907.994,
1-bit sign,1bit_sign,1-bit sign,numpy,67,0.905875,421.734671875,6023.27,
1-bit sign,1bit_sign,1-bit sign,numpy,68,0.872375,716.1925,4562.932,
1-bit sign,1bit_sign,1-bit sign,numpy,69,0.826875,1309.60675,3436.662,
1-bit sign,1bit_sign,1-bit sign,numpy,70,0.7795625,2495.62225,2569.928,
1-bit sign,1bit_sign,1-bit sign,numpy,71,0.7225625,5793.432,1910.36,
